scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS,objective_metric
by_date,2023-09-24,max_hsda,severe_obs,0.0,,2.0,hsda_class,30,2,4,4,0.8823529411764706,0.0625,0.8333333333333334,0.4827586206896552,HSS
by_date,2023-09-24,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,11,9,17,3,0.7857142857142857,0.45,0.4782608695652174,0.4,HSS
by_date,2023-09-24,max_mesh_75_mh19,severe_obs,0.0,11.0,33.027982053571144,percentile,33,2,4,1,0.9705882352941176,0.05714285714285714,0.9166666666666666,0.6842105263157895,HSS
by_date,2023-09-24,max_mesh_75_mh19,sig_severe_obs,0.0,77.0,51.14298734604717,percentile,7,2,24,7,0.5,0.2222222222222222,0.4375,0.46107784431137727,HSS
by_date,2024-05-20,max_reflectivity,severe_obs,0.0,20.0,58.155877685546876,percentile,40,11,8,5,0.8888888888888888,0.21568627450980393,0.7142857142857143,0.3410553410553411,HSS
by_date,2024-05-20,max_reflectivity,sig_severe_obs,0.0,80.0,63.501139068603514,percentile,3,10,50,1,0.75,0.7692307692307693,0.21428571428571427,0.2845528455284553,HSS
by_date,2024-05-20,max_hdr_size,severe_obs,0.0,18.0,20.81294258117676,percentile,41,11,8,4,0.9111111111111111,0.21153846153846154,0.7321428571428571,0.3717277486910995,HSS
by_date,2024-05-20,max_hdr_size,sig_severe_obs,0.0,89.0,34.85026180267334,percentile,2,5,55,2,0.5,0.7142857142857143,0.2222222222222222,0.30864197530864196,HSS
by_date,2024-05-20,max_hsda,severe_obs,0.0,,2.0,hsda_class,25,9,10,20,0.5555555555555556,0.2647058823529412,0.46296296296296297,0.07014028056112225,HSS
by_date,2024-05-20,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,3,17,43,1,0.75,0.85,0.14285714285714285,0.16279069767441862,HSS
by_date,2024-05-20,max_mesh_75_mh19,severe_obs,0.0,21.0,30.340712714675565,percentile,40,10,9,5,0.8888888888888888,0.2,0.7272727272727273,0.3924050632911392,HSS
by_date,2024-05-20,max_mesh_75_mh19,sig_severe_obs,0.0,94.0,52.19112222299646,percentile,2,2,58,2,0.5,0.5,0.3333333333333333,0.4666666666666667,HSS
by_date,2024-09-24,max_reflectivity,severe_obs,0.0,18.0,58.66753616333008,percentile,53,0,1,11,0.828125,0.0,0.828125,0.12911084043848964,HSS
by_date,2024-09-24,max_reflectivity,sig_severe_obs,0.0,27.0,61.6399887084961,percentile,14,33,17,1,0.9333333333333333,0.7021276595744681,0.2916666666666667,0.15648854961832062,HSS
by_date,2024-09-24,max_hdr_size,severe_obs,0.0,27.0,27.652397613525395,percentile,47,0,1,17,0.734375,0.0,0.734375,0.07839866555462886,HSS
by_date,2024-09-24,max_hdr_size,sig_severe_obs,0.0,83.0,38.00386322021484,percentile,4,7,43,11,0.26666666666666666,0.6363636363636364,0.18181818181818182,0.13970588235294118,HSS
by_date,2024-09-24,max_hsda,severe_obs,0.0,,2.0,hsda_class,44,0,1,18,0.7096774193548387,0.0,0.7096774193548387,0.07201309328968904,HSS
by_date,2024-09-24,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,9,23,25,6,0.6,0.71875,0.23684210526315788,0.08695652173913043,HSS
by_date,2024-09-24,max_mesh_75_mh19,severe_obs,0.0,22.0,36.930486056440145,percentile,50,0,1,14,0.78125,0.0,0.78125,0.09900990099009901,HSS
